lkthane,
8900000401413,1
8900000401420,1
8900000401437,1
8900000401680,1
8900000401697,1
8900000401703,1
8900000401710,2
8900000401727,2
8900000401734,2
8900000401741,1
8900000401758,1
8900000401765,1
8900000402434,1
8900000402441,1
8900000402458,1
8900000402465,2
8900000402472,2
8900000402489,2
8900000402496,1
8900000402502,1
8900000403318,1
8900000403325,1
8900000403332,2
8900000403349,2
8900000403356,2
8900000403363,1
8900000403615,1
8900000403622,1
8900000403639,2
8900000403646,2
8900000403653,2
8900000403660,1
8900000404155,2
8900000404520,1
8900000404537,2
8900000404544,2
8900000404551,2
8900000404568,1
8900000404575,1
8900000405084,1
8900000405091,1
8900000405107,2
8900000405114,2
8900000405121,2
8900000405138,1
8900000405596,1
8900000405602,1
8900000405619,1
8900000405626,2
8900000405633,2
8900000405640,2
8900000405657,1
8900000405664,1
8900000405985,1
8900000405992,2
8900000406005,2
8900000406012,2
8900000406029,1
8900000406210,1
8900000406227,1
8900000406234,1
8900000406241,2
8900000406258,2
8900000406265,2
8900000406272,1
8900000406289,1
8900000406296,1
8900000406302,1
8900000406463,1
8900000406470,1
8900000406487,1
8900000406494,2
8900000406500,2
8900000406517,2
8900000406524,1
8900000407217,2
8900000407248,1
8900000407255,1
8900000407262,1
8900000407293,1
8900000407309,2
8900000407316,2
8900000407323,2
8900000407361,1
8900000407378,2
8900000407422,1
8900000407439,1
8900000407453,2
8900000407460,2
8900000407514,2
8900000407538,2
8900000407545,1
8900000407552,1
8900000407569,1
8900000416509,1
8900000416516,1
8900000416523,1
8900000416530,2
8900000416547,2
8900000416554,2
8900000416561,1
8900000416578,1
8900000416585,1
8900000416714,2
8900000417001,1
8900000417254,1
8900000417261,1
8900000417278,1
8900000417285,2
8900000417292,2
8900000417308,2
8900000417315,1
8900000417322,1
8900000417339,1
8900000195732,2
8900000263356,2
8900000312979,2
8900000312986,2
8900000312993,2
8900000320622,2
8900000326624,2
8900000334056,2
8900000334063,2
8900000334070,2
8900000360284,1
8900000360673,1
8900000360697,2
8900000360703,2
8900000360710,1
8900000360819,1
8900000360826,2
8900000360833,2
8900000360840,2
8900000364718,1
8900000364831,1
8900000364855,1
8900000365289,1
8900000365920,1
8900000366057,1
8900000366200,1
8900000367597,1
8900000367757,2
8900000368983,2
8900000368990,2
8900000369003,2
8900000369010,1
8900000369027,1
8900000369065,1
8900000369072,2
8900000369089,2
8900000369096,2
8900000369102,1
8900000371198,1
8900000371204,1
8900000371228,1
8900000371235,2
8900000371242,2
8900000371259,2
8900000371266,1
8900000371273,1
8900000372041,1
8900000372058,2
8900000372065,2
8900000372072,2
8900000372089,1
8900000372096,1
8900000374212,1
8900000374229,2
8900000374236,2
8900000374243,2
8900000374250,1
8900000374267,1
8900000374281,1
8900000374311,2
8900000374328,1
8900000374335,1
8900000375202,2
8900000375219,2
8900000375226,2
8900000375264,1
8900000375271,2
8900000375288,2
8900000375295,2
8900000375301,1
8900000375356,2
8900000375363,2
8900000376285,1
8900000376292,2
8900000376308,2
8900000376315,2
8900000376322,1
8900000376339,1
8900000376353,1
8900000376360,2
8900000376377,2
8900000376384,2
8900000376391,1
8900000376490,1
8900000376506,2
8900000376513,2
8900000376582,2
8900000376599,2
8900000376612,1
8900000376629,1
8900000376773,1
8900000376780,2
8900000376797,2
8900000376803,2
8900000376810,1
8900000376827,1
8900000376865,2
8900000376872,2
8900000376889,1
8900000376896,1
8900000376919,1
8900000376933,2
8900000376940,2
8900000376957,1
8900000376964,1
8900000378395,1
8900000378401,2
8900000378418,2
8900000378425,2
8900000378432,1
8900000378449,1
8900000378746,1
8900000378753,2
8900000378760,2
8900000378777,2
8900000378784,1
8900000378791,1
8900000378814,1
8900000378821,2
8900000378838,2
8900000378845,2
8900000378852,1
8900000378869,1
8900000378883,1
8900000378951,1
8900000378968,2
8900000378975,2
8900000378982,2
8900000378999,1
8900000379002,1
8900000380077,1
8900000380084,2
8900000380091,2
8900000380107,2
8900000380114,1
8900000380121,1
8900000381111,1
8900000381128,2
8900000381135,2
8900000381142,2
8900000381159,1
8900000381166,1
8900000381180,1
8900000381197,2
8900000381203,2
8900000381210,2
8900000381227,1
8900000381234,1
8900000381425,1
8900000381432,2
8900000381463,1
8900000381470,1
8900000381494,1
8900000381517,2
8900000381524,2
8900000381531,1
8900000381548,1
8900000382026,1
8900000382033,2
8900000382040,2
8900000382057,2
8900000382064,1
8900000382071,1
8900000382095,1
8900000382101,2
8900000382118,2
8900000382125,2
8900000382132,1
8900000382149,1
8900000382514,1
8900000382521,2
8900000382538,2
8900000382552,1
8900000382569,1
8900000382699,1
8900000382705,2
8900000382712,2
8900000382729,2
8900000382736,1
8900000382743,1
8900000384327,1
8900000384341,2
8900000384358,2
8900000384365,1
8900000384372,1
8900000385034,2
8900000385041,2
8900000385058,1
8900000385065,1
8900000385102,2
8900000385119,2
8900000385126,1
8900000385133,1
8900000385607,1
8900000385614,2
8900000385621,2
8900000385638,2
8900000385676,1
8900000385690,2
8900000385706,2
8900000385713,1
8900000385768,2
8900000385782,1
8900000385799,1
8900000387106,1
8900000387113,2
8900000387144,1
8900000387151,1
8900000388653,2
8900000388660,2
8900000388677,2
8900000388684,1
8900000388783,1
8900000388790,1
8900000388806,2
8900000388820,2
8900000388837,1
8900000391202,2
8900000391219,2
8900000391226,2
8900000391233,1
8900000391240,1
8900000391264,1
8900000391271,2
8900000391288,2
8900000391295,2
8900000391301,1
8900000391332,1
8900000391349,2
8900000391363,2
8900000391370,1
8900000391387,1
8900000391400,1
8900000391417,2
8900000391424,2
8900000391448,1
8900000391455,1
8900000391486,2
8900000391493,2
8900000391509,2
8900000391516,1
8900000391523,1
8900000392094,1
8900000392100,2
8900000392117,2
8900000392124,2
8900000392131,1
8900000392148,1
8900000392452,1
8900000392483,2
8900000392490,1
8900000392506,1
8900000392865,1
8900000392872,2
8900000392889,2
8900000392896,2
8900000394524,1
8900000394531,2
8900000394548,2
8900000394555,2
8900000394562,1
8900000394579,1
8900000394906,1
8900000394913,2
8900000394920,2
8900000394937,2
8900000394944,1
8900000395057,2
8900000395064,2
8900000395071,2
8900000395088,1
8900000397273,1
8900000397280,2
8900000397297,2
8900000397303,2
8900000397310,1
8900000397327,1
8900000397563,2
8900000397587,2
8900000397594,1
8900000397600,1
8900000397624,1
8900000397648,2
8900000397655,2
8900000397662,1
8900000397679,1
8900000416158,1
8900000416165,2
8900000416172,2
8900000416189,2
8900000416196,1
8900000416202,1
8900000416295,1
8900000416301,2
8900000416318,2
8900000416325,2
8900000416332,1
8900000416349,1
8900000416363,1
8900000416370,2
8900000416387,2
8900000416394,2
8900000416400,1
8900000416417,1
8900000416448,1
8900000416455,2
8900000416462,2
8900000416479,2
8900000416486,1
8900000416493,1
